,,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil
t_hour,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,cluster,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-25,1,101.5542184,100.5174405,97.9099374,97.372363,95.3808942,96.0171639,95.9133143,107.8373101,126.5981985,137.0213385,144.8112039,146.7528478,150.24879950000005,152.0508955,148.1502358,145.04601090000003,148.4033692,143.4833035,133.75026699999998,124.6933983,124.24764679999998,122.8598038,120.4166656,119.61794
2017-03-26,1,115.0140047,113.81677535,112.619546,115.7403792,114.9731521,109.4803864,109.5922538,108.46938,116.7189326,112.7571849,116.1315333,118.3688813,119.3405623,123.1795613,126.791962,120.8406545,111.5665416,112.3055155,114.37697140000002,110.12963729999998,106.5567529,102.8267578,103.441074,106.2423406
2017-03-27,2,103.3383698,101.5408554,97.0846767,95.8860156,93.3915253,100.7850823,119.5965592,189.0484609,276.4386629,330.42900089999995,365.5011489,369.43044360000016,371.4270667,371.8168845,343.9695379,331.6589696000001,337.2174049,298.6678225,262.3647513,213.75779330000003,169.0912022,148.0175603,131.15269070000002,121.7722465
2017-03-28,2,108.0661992,105.5230294,105.0704055,103.8906435,104.3594939,115.97614070000002,128.0268941,199.5546424,295.7228082,349.84334,374.7571263,391.7760522,393.9626208,351.8416812,350.9509418,349.3428002,340.8286602,300.2118217,262.1769057,227.02534330000003,175.46077160000004,144.47922880000004,134.8553871,131.684729
2017-03-29,2,121.7942,119.2622933,115.1976505,111.99702109999998,108.4516263,118.2709496,129.6508804,200.6832432,292.418711,330.3022433000001,347.6264183,340.0142808,340.4571688000001,318.9916092,332.4473866,322.1389775,320.20286969999995,294.8013339,246.74722230000003,187.2923718,152.0967115,129.3208143,125.3970557,132.2683103
2017-03-30,2,121.16403909999998,113.6765593,107.2753005,101.9058562,100.9074492,102.8309576,129.4754433,200.0910714,283.6991626,321.0126675,346.5157621,343.3880565,329.90173510000005,317.5041164,325.6897175,340.2221709,340.6587592,302.2701055,248.7455635,208.9167602,171.8413076,153.7983941,142.1032874,139.86574850000002
2017-03-31,2,134.8945216,123.2267136,114.46134920000002,111.2149038,117.3015594,121.3272586,128.832683,198.3613265,267.6748257,279.7836127,316.4723019,319.9966977,323.1244033000001,324.5450811,300.4220026,302.7210113,336.7510362,299.5219091,244.0578231,204.74349530000003,167.53384,137.5253145,130.3757277,121.8528063
2017-04-01,1,117.1139047,109.7016395,105.93041,100.9809457,98.9018538,96.3819738,97.8713756,109.817134,165.48605569999995,180.5830004,158.40328390000005,150.8447893,159.37076509999997,157.2372667,156.0546412,151.3838909,148.6645204,134.3235397,125.5514938,118.6571403,114.8992738,112.5095876,110.540645,105.9311736
2017-04-02,1,106.8608566,105.827324,105.099995,103.4880354,102.3537076,101.3171206,100.0293092,95.9070146,92.2445981,96.597309,100.7266669,102.4629024,106.5666797,108.9550296,106.510746,111.9139796,121.0159007,127.4574394,125.9090495,122.5129385,124.3442422,119.7655057,120.15188729999998,120.0102395
2017-04-03,2,115.3900777,115.6687917,115.9505601,113.4157899,109.2797505,109.2440522,136.7672506,200.6341819,279.506235,317.80249310000005,326.3968111,335.0533625,327.5889816,307.7567624,297.5000872,308.960196,306.9122208,283.133335,257.5958784,220.071429,166.8067019,146.6192178,146.8561247,139.7092105
2017-04-04,2,122.9111559,108.9176132,105.7830352,104.7390031,100.9099309,99.088554,121.9677281,188.9778279,273.6681312,294.4895942,338.990675,320.8555568,313.9909837,305.6904608,321.4817088,335.61537210000006,323.38860889999995,293.1714297,269.98528839999994,226.930466,174.0261581,148.54654419999997,143.1242206,127.9491978
2017-04-05,2,121.0336544,114.25365,110.6200594,108.8360989,104.7495026,105.8620678,131.2109152,199.8276294,277.4151164,286.3944797,333.0542577,318.39294680000006,317.812229,314.0398541,333.0435673,331.2115,314.6325986,290.3785627,283.2852914,234.9833916,171.5559121,144.8824096,140.7001724,140.7297619
2017-04-06,2,134.922393,123.5751061,118.53190990000002,112.8511077,107.5944853,109.7165297,131.2028974,195.6182844,273.2124529,290.1185569,326.5388407,317.7316692,304.338507,302.3943814,327.9091209,339.7624837,332.7665714,288.0734452,264.7067125,204.5062066,142.19415580000003,126.7606544,118.314093,111.02743999999998
2017-04-07,2,105.8431687,97.3574728,98.5231082,97.4515865,93.4495589,93.2149428,120.2206113,189.5845081,256.241252,274.0978471,308.7715868,305.45909,291.6526293,295.79783189999995,313.5175517,310.5691012000001,291.73796160000006,261.2418775,226.1187592,163.81281719999996,115.4215762,100.6077362,96.9361565,91.1135156
2017-04-08,1,85.9538704,80.9343458,81.4547392,77.85493790000002,79.40199150000002,74.2173384,72.5929703,75.23159009999998,80.4744677,21.9701083,16.006965,17.081541100000006,15.887461600000002,16.5277402,16.7421209,17.421724899999994,17.323220499999998,30.6951928,81.8943819,73.1021006,72.4003522,72.14950959999999,71.3395209,71.8998124
2017-04-09,1,72.1351921,71.1707653,70.3015976,69.8275929,71.1595022,67.48066829999999,67.69008559999999,66.1376868,66.28620699999999,65.94487779999999,65.6190115,67.6364427,69.3671421,71.26048829999998,83.17474820000002,83.42234549999998,85.3090102,85.46688449999998,86.79478490000002,85.46459370000002,83.3236502,80.7344735,81.09432,80.0145896
